# Program:featureCounts v2.0.0; Command:"featureCounts" "./bam/PmCranial_R1_kpetMar1.bam" "./bam/PmCranial_R2_kpetMar1.bam" "./bam/PmTrunk_R1_kpetMar1.bam" "./bam/PmTrunk_R2_kpetMar1.bam" "-T" "8" "-t" "exon" "-s" "0" "-g" "gene_id" "-F" "GTF" "-a" "/data/Megan/Lamprey_CT/kPetMar1_ht2/pmz.genes-fixed.gtf" "-o" "kpetMar1.featurecounts.txt" 
Geneid	Chr	Start	End	Strand	Length	./bam/PmCranial_R1_kpetMar1.bam	./bam/PmCranial_R2_kpetMar1.bam	./bam/PmTrunk_R1_kpetMar1.bam	./bam/PmTrunk_R2_kpetMar1.bam
PMZ_0050445	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	33394259;33399599;33400152;33400377;33400967;33403120;33403599;33404061;33404892;33405315;33406988;33407589;33408244;33409027	33394762;33399805;33400220;33400419;33401112;33403206;33403830;33404231;33405127;33405450;33407208;33407689;33408418;33411750	+;+;+;+;+;+;+;+;+;+;+;+;+;+	5052	4278	4830	9375	9317
PMZ_0040508	chr1;chr1;chr1	33423359;33424055;33424451	33423607;33424335;33424758	+;+;+	838	0	13	9	21
PMZ_0040509	chr1;chr1;chr1	33438777;33439604;33440304	33439017;33439898;33440951	+;+;+	1184	60	5	94	37
PMZ_0050446	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	33456640;33461041;33465622;33466470;33467000;33468945;33469803;33470777	33457357;33461129;33466007;33466563;33467188;33469039;33469881;33470920	+;+;+;+;+;+;+;+	1794	27	44	152	201
PMZ_0040510	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	33473908;33474018;33474491;33474894;33475126;33475343;33475876;33476172;33476599;33477343;33478035;33478702;33478987;33479874;33480572	33473962;33474080;33474622;33475015;33475233;33475462;33476043;33476282;33476694;33477453;33478172;33478770;33479097;33480008;33480707	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1675	351	505	591	761
PMZ_0050447	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	33488823;33496610;33496851;33497605;33498426;33500057;33505859;33507287;33508098;33508785;33509609	33489070;33496736;33496988;33497723;33498643;33500240;33505985;33507424;33508132;33509002;33509804	+;+;+;+;+;+;+;+;+;+;+	1748	0	0	0	13
PMZ_0050448	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	33515252;33517859;33518508;33519156;33519595;33521863;33522614;33523206;33523713;33524267;33525066;33525734;33530681;33531300;33531829;33532343;33533552;33533958;33535236	33515480;33518018;33518602;33519237;33519765;33522091;33523102;33523326;33523841;33524397;33525099;33525897;33530863;33531439;33531978;33532934;33533761;33534065;33535778	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3960	224	228	442	570
PMZ_0050449	chr1;chr1	33537842;33539485	33538069;33541421	+;+	2165	149	296	219	226
PMZ_0050450	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	33541285;33543158;33543738;33545665;33546485;33546939;33547265;33547712;33548209;33548774;33549238;33549404;33550369;33551370;33555673;33557759;33558350;33559661;33560075;33562192;33565229	33542666;33543268;33543956;33545798;33546548;33547072;33547379;33547834;33548448;33548939;33549305;33549569;33550589;33551477;33555758;33557857;33558477;33559752;33560233;33562470;33566390	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5256	69	149	348	325
PMZ_0050451	chr1;chr1;chr1;chr1	33657156;33658785;33660111;33661740	33657175;33659098;33660176;33663953	+;+;+;+	2614	1366	1861	1067	985
PMZ_0050452	chr1;chr1;chr1;chr1;chr1;chr1;chr1	33675326;33676514;33677743;33678023;33678604;33679052;33680438	33676077;33676602;33677855;33678185;33678718;33679086;33680497	-;-;-;-;-;-;-	1327	974	937	1391	1191
PMZ_0050453	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	33687637;33690450;33692941;33695196;33697517;33698633;33699836;33700140;33700449;33700873;33701695;33702446;33703010;33703507;33703958	33689234;33690578;33693093;33695258;33697639;33698738;33700000;33700256;33700556;33700987;33701808;33702660;33703084;33703689;33703981	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3288	67	84	266	229
PMZ_0050454	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	33709101;33709778;33715440;33716020;33717218;33718088;33718330;33721826;33722717;33723790;33725922	33709285;33709863;33715549;33716095;33717406;33718209;33718761;33722045;33722789;33723985;33726134	-;-;-;-;-;-;-;-;-;-;-	1902	0	0	139	43
PMZ_0050455	chr1;chr1;chr1	33731499;33738437;33740366	33732853;33739095;33740659	-;-;-	2308	616	1292	2269	3143
PMZ_0050456	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	33797300;33798417;33799310;33800140;33800514;33800847;33801061;33801374	33797412;33798573;33799399;33800390;33800670;33800957;33801141;33803397	+;+;+;+;+;+;+;+	2984	911	1040	1536	1636
PMZ_0050457	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	33805968;33807699;33808865;33809289;33809667;33810371;33810666;33811432;33812030;33812627;33820259	33806636;33807828;33808960;33809535;33809854;33810558;33810798;33811524;33812197;33812800;33821370	-;-;-;-;-;-;-;-;-;-;-	3198	222	124	395	583
PMZ_0050458	chr1;chr1;chr1;chr1;chr1	33821709;33821975;33823383;33824617;33825126	33821854;33822064;33823574;33824663;33825719	+;+;+;+;+	1069	824	853	520	632
PMZ_0050459	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	33825334;33830220;33830812;33831971;33832897;33835085;33837636;33838189;33843060	33825376;33830296;33830961;33832134;33832966;33835149;33837828;33838420;33843423	-;-;-;-;-;-;-;-;-	1358	695	875	1203	1764
PMZ_0050460	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	33846073;33848912;33849408;33849577;33850561;33853964;33857753;33859657	33846178;33849071;33849457;33849736;33850689;33854021;33857839;33860284	-;-;-;-;-;-;-;-	1378	346	405	1508	1196
PMZ_0050461	chr1;chr1;chr1	33956198;33958106;33973368	33956339;33958551;33973862	+;+;+	1083	0	0	59	64
PMZ_0040519	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	33993155;33995778;33996411;33997725;33998549;33999434;34001169;34002090;34003102;34003865	33993401;33995894;33996811;33998079;33998662;33999538;34001305;34002240;34003196;34003951	+;+;+;+;+;+;+;+;+;+	1809	43	18	152	97
PMZ_0050462	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	34005502;34006233;34006610;34006795;34007168;34007499;34008651;34009253;34009568;34009825;34011077	34005685;34006392;34006705;34006940;34007256;34007588;34008793;34009374;34009730;34009986;34011209	-;-;-;-;-;-;-;-;-;-;-	1488	482	819	673	799
PMZ_0050463	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	34029789;34030557;34035027;34037773;34037955;34039451;34041328;34041718;34042049;34042999;34043670;34044854;34045278;34046511;34046801;34049041;34051659	34029853;34030714;34035078;34037852;34037983;34039528;34041425;34041894;34042094;34043207;34043798;34045071;34045374;34046729;34046930;34049119;34051704	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1910	114	228	293	273
PMZ_0050464	chr1;chr1;chr1;chr1;chr1;chr1;chr1	34051727;34055701;34057293;34057540;34057979;34059012;34059410	34052138;34055885;34057447;34057668;34058108;34059165;34061078	+;+;+;+;+;+;+	2834	674	220	1507	1639
PMZ_0032083	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	34066568;34067263;34067815;34068385;34069947;34070495;34070907;34071202;34071503;34071877;34072637;34073180;34076186;34089024;34089529;34090556;34091284;34092032	34066861;34067376;34067910;34068530;34070074;34070635;34071047;34071370;34071636;34071949;34072680;34073393;34076247;34089197;34089837;34090700;34091413;34092050	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2533	0	10	19	82
PMZ_0040524	chr1;chr1;chr1	34117978;34118182;34118759	34118050;34118491;34119045	-;-;-	670	1	60	800	396
PMZ_0040525	chr1;chr1	34132752;34144011	34133210;34144566	+;+	1015	110	63	126	161
PMZ_0040526	chr1;chr1;chr1;chr1;chr1	34146498;34148673;34149859;34151209;34153318	34146563;34148881;34150043;34151367;34153403	+;+;+;+;+	705	63	40	68	111
PMZ_0040527	chr1;chr1	34185432;34186124	34185619;34187440	+;+	1505	150	383	339	247
PMZ_0018777	chr1;chr1;chr1;chr1;chr1;chr1	34220793;34222247;34222811;34225602;34226646;34228175	34221599;34222301;34223026;34225697;34227037;34228237	-;-;-;-;-;-	1629	1628	1597	1155	1567
PMZ_0048890	chr2;chr2	24591;25530	24775;25683	+;+	339	0	4	0	5
PMZ_0050465	chr2;chr2;chr2;chr2;chr2;chr2	217376;221058;225130;225779;226181;227228	219150;221095;225268;225925;226314;227275	-;-;-;-;-;-	2281	0	0	0	0
PMZ_0050466	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	242809;244213;245687;250384;250786;251133;251906;253338	242880;244450;245767;250530;250919;251281;252008;253852	-;-;-;-;-;-;-;-	1439	0	1	0	4
PMZ_0050467	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	268640;272879;277804;278204;278551;279323;280945;281132	270430;272959;277950;278337;278699;279425;281108;281214	-;-;-;-;-;-;-;-	2652	15	1	4	8
PMZ_0048649	chr2;chr2;chr2;chr2	362511;362909;367969;370537	362654;363055;368049;370898	+;+;+;+	734	60	32	121	48
PMZ_0050468	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	410714;412521;413295;413657;414046;414700;418875;420819;422382	411231;412672;413443;413790;414192;414838;418912;421056;422453	+;+;+;+;+;+;+;+;+	1587	15	0	0	4
PMZ_0050469	chr2	508896	509114	+	219	0	0	0	0
PMZ_0040528	chr2;chr2	551051;552349	551248;552478	+;+	328	0	0	0	0
PMZ_0040529	chr2;chr2;chr2	569208;577732;579698	569225;577943;579779	+;+;+	312	0	0	0	0
PMZ_0034013	chr2;chr2;chr2;chr2;chr2;chr2	614925;620948;623599;624223;624708;625580	614999;620963;623679;624272;624788;625888	+;+;+;+;+;+	612	0	0	0	0
PMZ_0034012	chr2;chr2;chr2;chr2;chr2;chr2	627861;629566;630376;632611;637009;638629	628447;629795;630576;632772;637096;638672	+;+;+;+;+;+	1312	0	0	0	0
PMZ_0050470	chr2;chr2;chr2;chr2;chr2;chr2	768634;769128;772150;782001;786027;786192	768657;769631;772386;783732;786108;786783	-;-;-;-;-;-	3171	0	0	0	23
PMZ_0050471	chr2;chr2;chr2	831105;884622;890659	831687;884815;890793	+;+;+	912	1	0	0	0
PMZ_0038754	chr2;chr2	963984;973547	964032;973812	+;+	315	0	0	0	0
PMZ_0035682	chr2;chr2;chr2	1020400;1023019;1026861	1020481;1023172;1026918	+;+;+	294	0	0	0	0
PMZ_0050472	chr2;chr2;chr2	1071523;1072122;1076702	1071597;1072639;1076930	+;+;+	822	0	0	0	0
PMZ_0050473	chr2	1141732	1142469	+	738	0	0	55	19
PMZ_0035681	chr2	1156306	1156611	+	306	0	0	24	39
PMZ_0050474	chr2;chr2	1206320;1215217	1206911;1215866	+;+	1242	0	0	468	614
PMZ_0050475	chr2;chr2;chr2	1222614;1249753;1251914	1222684;1249783;1252156	+;+;+	345	1	14	226	196
PMZ_0050476	chr2;chr2;chr2	1310044;1314408;1329047	1310242;1314597;1329461	+;+;+	804	0	0	112	61
PMZ_0040530	chr2;chr2;chr2	1531990;1532557;1537784	1532017;1532643;1537935	+;+;+	267	0	0	46	32
PMZ_0036213	chr2;chr2	1555227;1557955	1555337;1558104	+;+	261	0	0	0	2
PMZ_0050477	chr2;chr2;chr2;chr2	1634164;1640289;1640733;1641351	1634677;1640363;1640897;1641449	+;+;+;+	853	34	20	142	116
PMZ_0050478	chr2	1653903	1655534	-	1632	4920	4912	3813	3163
PMZ_0050479	chr2;chr2;chr2;chr2	1655833;1660205;1661228;1661941	1655956;1660364;1661380;1662018	-;-;-;-	515	1205	1283	1617	1404
PMZ_0040532	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	1672269;1675284;1675904;1676637;1677066;1677618;1677782;1678537;1678800;1679318;1679760	1672472;1675400;1676050;1676847;1677164;1677689;1677838;1678674;1678940;1679416;1681889	+;+;+;+;+;+;+;+;+;+;+	3415	36297	39494	28216	27626
PMZ_0040533	chr2;chr2	1686708;1687221	1687076;1687708	-;-	857	0	0	0	9
PMZ_0050480	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	1708270;1714274;1714679;1718779;1720891;1721591;1722727;1728000	1708596;1714399;1714747;1718834;1720942;1721683;1722765;1728817	+;+;+;+;+;+;+;+	1580	1212	1478	1613	1639
PMZ_0050481	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	1775461;1786877;1792903;1793433;1801408;1803992;1806138;1806421;1812493;1813301;1818338;1850376;1864476	1775625;1786915;1792993;1793494;1801554;1804042;1806230;1806477;1812613;1813365;1818427;1850534;1865369	-;-;-;-;-;-;-;-;-;-;-;-;-	2034	0	0	30	34
PMZ_0040536	chr2;chr2;chr2;chr2;chr2	1891712;1895499;1901908;1902365;1903690	1891816;1895608;1902024;1902584;1903855	-;-;-;-;-	718	0	0	16	0
PMZ_0040537	chr2;chr2;chr2	1925396;1927774;1928126	1925504;1927923;1928244	+;+;+	378	0	0	15	1
PMZ_0050482	chr2;chr2;chr2	1930056;1931835;1932564	1930739;1931963;1932781	-;-;-	1031	805	774	454	381
PMZ_0050483	chr2;chr2;chr2;chr2;chr2	1936345;1936749;1939004;1939430;1943567	1936500;1936814;1939156;1939471;1943995	-;-;-;-;-	846	447	341	379	499
PMZ_0047348	chr2;chr2;chr2	2198139;2198316;2200999	2198184;2198397;2201089	-;-;-	219	0	0	73	11
PMZ_0034847	chr2;chr2;chr2	2234555;2240315;2240465	2234759;2240383;2240523	-;-;-	333	0	0	0	5
PMZ_0040539	chr2;chr2;chr2;chr2	2292714;2294076;2300839;2305030	2292739;2294268;2300983;2305079	-;-;-;-	414	0	0	0	1
PMZ_0050484	chr2;chr2;chr2;chr2	2605118;2607510;2607939;2608297	2605217;2607687;2608072;2611638	+;+;+;+	3754	72706	85567	30882	31517
PMZ_0050485	chr2;chr2;chr2;chr2;chr2	2666353;2675345;2677019;2683447;2687159	2667406;2675491;2677318;2683500;2687406	-;-;-;-;-	1803	0	0	0	0
PMZ_0050486	chr2;chr2	3073501;3076904	3073902;3077077	+;+	576	0	0	0	1
PMZ_0026764	chr2;chr2;chr2;chr2;chr2	3147862;3150171;3150708;3156335;3158097	3147993;3150286;3150829;3156682;3158311	+;+;+;+;+	933	50	2	330	295
PMZ_0040542	chr2;chr2;chr2	3204233;3208580;3208917	3204255;3208817;3209216	+;+;+	561	162	189	73	84
PMZ_0050487	chr2;chr2;chr2;chr2	3331354;3332994;3336077;3337002	3332295;3333242;3336361;3337439	+;+;+;+	1914	13	0	0	5
PMZ_0050488	chr2;chr2	3342921;3343333	3343177;3343403	+;+	328	46	19	30	11
PMZ_0050489	chr2;chr2;chr2;chr2;chr2;chr2	3345711;3346486;3349029;3349631;3350002;3350838	3345980;3347563;3349250;3349723;3350075;3352281	+;+;+;+;+;+	3181	864	767	552	548
PMZ_0040544	chr2;chr2;chr2;chr2;chr2;chr2	3425413;3429779;3438395;3439201;3442999;3445093	3425764;3429906;3438501;3439327;3443060;3445170	+;+;+;+;+;+	854	0	33	46	26
PMZ_0050490	chr2;chr2;chr2	3526410;3542492;3543045	3526514;3542614;3547088	+;+;+	4272	315	103	320	331
PMZ_0040545	chr2;chr2;chr2;chr2	3656960;3666200;3671790;3672168	3657031;3666316;3671867;3672383	+;+;+;+	483	0	0	0	0
PMZ_0050491	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	3708993;3709763;3714977;3716665;3717309;3717957;3719146;3720230;3722658;3723598;3725022;3729411;3731051;3731727;3732370;3733398;3735831;3738752;3739500;3740485;3741473;3743736;3744722;3745645;3746364;3747510;3750279;3750818;3751792;3752584;3752774;3753839;3754759;3755357;3756395	3709033;3709876;3715021;3716787;3717362;3718010;3719199;3720274;3722711;3723696;3725066;3729518;3731104;3731825;3732423;3733496;3735884;3738796;3739598;3740592;3741526;3743789;3744775;3745698;3746417;3747564;3750334;3750871;3751899;3752637;3752881;3754059;3754946;3755590;3756541	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2943	0	0	22	11
PMZ_0050492	chr2;chr2;chr2;chr2;chr2	3775486;3777263;3778216;3779039;3780413	3775838;3777442;3778395;3779212;3781452	+;+;+;+;+	1927	66	41	177	142
PMZ_0050493	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	3794739;3801421;3802676;3803849;3805353;3806814;3810174;3813793	3795765;3801667;3802817;3803958;3805555;3806947;3810300;3813894	-;-;-;-;-;-;-;-	2092	0	16	91	63
PMZ_0050494	chr2;chr2;chr2;chr2;chr2	3944370;3946579;3946998;3951044;3959427	3944582;3946700;3949736;3951158;3959528	-;-;-;-;-	3291	52	50	315	272
PMZ_0029362	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	4041773;4044224;4046567;4049118;4051111;4061179;4062221;4063159;4066613	4041796;4044320;4046796;4049222;4051272;4061268;4062346;4063378;4066686	+;+;+;+;+;+;+;+;+	1128	29	0	0	3
PMZ_0050495	chr2	4101975	4103105	-	1131	888	736	686	675
PMZ_0050496	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	4119437;4125577;4127011;4129778;4130444;4139781;4140943;4144566;4145735;4152045;4167579	4119482;4125659;4127082;4129831;4130514;4139898;4140993;4144664;4145875;4152153;4167598	+;+;+;+;+;+;+;+;+;+;+	864	21	0	82	44
PMZ_0050497	chr2;chr2;chr2;chr2;chr2	4209468;4212072;4215533;4218552;4219595	4209515;4212212;4215654;4218672;4219714	+;+;+;+;+	552	20	1	114	127
PMZ_0050498	chr2;chr2;chr2;chr2	4225488;4231571;4236094;4238828	4229407;4231612;4236237;4238926	-;-;-;-	4205	0	0	73	11
PMZ_0050499	chr2;chr2;chr2;chr2;chr2	4242654;4243601;4246043;4247047;4248691	4242718;4243754;4246169;4247138;4248846	-;-;-;-;-	594	0	10	0	0
PMZ_0001177	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	4270875;4272804;4273728;4274622;4274796;4276915;4277513;4278147;4279036;4280686	4271166;4273000;4273884;4274692;4274986;4277034;4277616;4278292;4279086;4280800	+;+;+;+;+;+;+;+;+;+	1444	6212	7251	6188	6613
PMZ_0050500	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	4307394;4311344;4315590;4316104;4321147;4321751;4323713;4326046	4307537;4312257;4315635;4316237;4321276;4321870;4323893;4326167	+;+;+;+;+;+;+;+	1791	172	139	458	594
PMZ_0050501	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	4343527;4344401;4345732;4347079;4349437;4350445;4352164;4354342;4358635;4360328;4364140;4371060;4374153	4343680;4344455;4345858;4347131;4349579;4350539;4352367;4354464;4358764;4360483;4364291;4371190;4374288	-;-;-;-;-;-;-;-;-;-;-;-;-	1659	0	0	68	23
PMZ_0050502	chr2;chr2;chr2;chr2;chr2	4420805;4429373;4429977;4431314;4434779	4420875;4429502;4430056;4431477;4434849	+;+;+;+;+	516	23	16	0	50
PMZ_0050503	chr2;chr2;chr2;chr2;chr2	4456064;4457217;4457636;4460827;4461899	4456201;4457348;4457728;4460840;4462872	+;+;+;+;+	1351	0	4	31	118
PMZ_0050504	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	4462133;4471645;4478125;4478611;4479175;4479869;4481073;4485025;4485564;4486228;4489937;4490747;4490906;4493065;4495988;4496610;4497033;4499052;4499849;4500168	4462167;4471858;4478221;4478680;4479354;4479962;4481101;4485160;4485662;4486346;4490111;4490786;4490998;4493223;4496082;4496752;4497111;4499150;4499993;4500313	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2247	15	82	158	242
PMZ_0050505	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	4577536;4580592;4583187;4584480;4587282;4589400;4590756;4593614;4595659;4605412;4608738;4610598;4614314;4618171;4619399;4620193;4622832;4625707;4634249;4634985;4637572;4638961;4639241	4577643;4580638;4583250;4584578;4587388;4589547;4590874;4593700;4595724;4605516;4608800;4610798;4614540;4618371;4619492;4620342;4622900;4625793;4634323;4635119;4637685;4639088;4640340	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3594	1100	1172	1021	1711
PMZ_0050506	chr2;chr2;chr2;chr2;chr2	4652444;4655372;4655997;4657807;4659289	4652531;4655495;4656214;4658615;4659944	+;+;+;+;+	1895	253	318	389	311
PMZ_0011015	chr2;chr2;chr2	4732311;4740248;4746744	4732388;4740344;4747132	+;+;+	564	0	0	0	23
PMZ_0040552	chr2;chr2;chr2;chr2	4761112;4763885;4767049;4769546	4761139;4764251;4767267;4769954	+;+;+;+	1023	0	0	0	8
PMZ_0040553	chr2;chr2;chr2	4860294;4861257;4863564	4860412;4861328;4863972	+;+;+	600	0	0	0	0
PMZ_0050507	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	4896462;4898781;4902787;4906843;4911000;4919336;4925215;4926183;4927538;4929322	4897211;4898909;4902989;4906914;4911060;4919470;4925394;4926314;4927573;4929438	-;-;-;-;-;-;-;-;-;-	1815	0	12	5	116
PMZ_0048112	chr2;chr2;chr2;chr2	5061573;5062093;5062377;5063586	5061710;5062331;5062460;5063686	+;+;+;+	562	0	0	0	0
PMZ_0005253	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	5215976;5216496;5217812;5224932;5231591;5233248;5234681;5240319;5246880;5247136	5216070;5216580;5218158;5225091;5231712;5233358;5234786;5240428;5246962;5247172	+;+;+;+;+;+;+;+;+;+	1256	0	0	0	0
PMZ_0050508	chr2;chr2	5362411;5365272	5363697;5365566	-;-	1582	0	0	0	0
PMZ_0050509	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	5420172;5420668;5422154;5423903;5424994;5425359;5436852;5437594;5437864;5438504;5439278;5442814	5420183;5420799;5422235;5423988;5425068;5425611;5437022;5437674;5437957;5438612;5439412;5446067	+;+;+;+;+;+;+;+;+;+;+;+	4484	796	591	871	946
PMZ_0028935	chr2;chr2;chr2;chr2;chr2	5524957;5529957;5532876;5534547;5535733	5525141;5530110;5532974;5534809;5535913	+;+;+;+;+	882	10	0	0	0
PMZ_0050510	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	5622357;5626236;5629841;5630524;5631496;5631744;5632946;5633622;5635332;5635701;5637111;5637724;5642482	5623811;5626341;5630154;5630811;5631563;5631884;5633020;5633719;5635410;5635815;5637115;5637800;5642578	-;-;-;-;-;-;-;-;-;-;-;-;-	2918	84	29	277	270
PMZ_0040556	chr2;chr2;chr2	5646456;5649338;5650457	5646481;5649541;5650724	-;-;-	498	39	9	11	24
PMZ_0050511	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	5698279;5699256;5699842;5702497;5703309;5705275;5706038;5706669;5707284;5707475;5712097;5715841;5717144;5718239;5719299;5724025;5726038;5726907;5727508;5728811;5730784;5733531;5734433;5735222;5737167	5698523;5699402;5699941;5702636;5703444;5705376;5706121;5706744;5707376;5707590;5712162;5716019;5717190;5718317;5719406;5724186;5726220;5727034;5727644;5728932;5730835;5733625;5734484;5735363;5738211	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3836	73	75	420	282
PMZ_0050512	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	5777536;5782346;5782962;5783688;5786270;5787386;5788499;5788995;5789731;5790916;5791228;5792473;5793541;5794849;5795990;5797165;5804308	5780563;5782566;5783022;5783809;5786420;5787454;5788654;5789198;5789865;5791019;5791372;5792674;5793760;5795106;5796214;5797222;5804531	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5583	14077	15623	12706	13949
PMZ_0003977	chr2;chr2;chr2;chr2;chr2;chr2;chr2	5849510;5851615;5853693;5855627;5860030;5860968;5861932	5849674;5851783;5853733;5855827;5860835;5861089;5861995	+;+;+;+;+;+;+	1568	0	0	38	23
PMZ_0050513	chr2;chr2;chr2;chr2;chr2;chr2	5872543;5884034;5884577;5885460;5888757;5889894	5872716;5884179;5884705;5885631;5888909;5890970	-;-;-;-;-;-	1851	186	68	783	510
PMZ_0003980	chr2	5892473	5892829	+	357	37	0	97	28
PMZ_0050514	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	5892959;5895540;5897472;5898427;5899192;5903594;5904015;5904920	5893188;5895685;5897664;5898572;5899381;5903739;5904178;5908643	+;+;+;+;+;+;+;+	4939	1152	904	1149	1307
PMZ_0050515	chr2;chr2;chr2;chr2;chr2;chr2	5909196;5911991;5913273;5914358;5914844;5930576	5911092;5912191;5913435;5914447;5914929;5930786	-;-;-;-;-;-	2648	1406	1644	1395	1311
PMZ_0050516	chr2;chr2;chr2	5978592;5988579;5989416	5978776;5988671;5989452	-;-;-	315	0	0	0	0
PMZ_0011182	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	6026454;6036278;6043213;6044763;6046549;6047983;6048822;6049423;6050251;6050491;6051479;6053972;6055351;6056185;6057137;6063776;6065341;6067730;6068258;6069491;6071817	6026683;6036351;6043290;6044952;6046714;6048027;6048930;6049518;6050343;6050616;6051543;6054035;6055497;6056255;6057224;6063928;6065505;6067791;6068369;6069590;6071845	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2263	82	112	325	404
PMZ_0005029	chr2;chr2;chr2	6212740;6216501;6227007	6212882;6217260;6227108	-;-;-	1005	121	6	414	292
PMZ_0048105	chr2	6273823	6274539	+	717	0	0	0	0
PMZ_0050517	chr2;chr2;chr2;chr2	6429404;6436706;6437494;6442614	6429524;6436787;6437750;6447436	+;+;+;+	5283	13	0	24	92
