PMGeneID	GalgalGeneID	GeneName	QueryLength	NumberOfMatches	AlignmentScore	Strand	GalgalProteinID
PMZ_0041437	ENSGALG00000002880	AARSD1	199	139	69.84924623	+	ENSGALP00000004532
PMZ_0010749	ENSGALG00000011306	DES	262	190	72.51908397	+	ENSGALP00000018424
PMZ_0041438	ENSGALG00000008728	PTER	33	23	69.6969697	+	ENSGALP00000014189
PMZ_0040344	ENSGALG00000008591	CACNB2	243	207	85.18518519	+	ENSGALP00000013972
PMZ_0035533	ENSGALG00000032836	MAOB	77	63	81.81818182	+	ENSGALP00000052475
PMZ_0026865	ENSGALG00000007665		971	795	81.87435633	+	ENSGALP00000012408
PMZ_0037100	ENSGALG00000042362		107	85	79.43925234	+	ENSGALP00000044090
PMZ_0040597	ENSGALG00000011645	CLASP1	1185	985	83.12236287	+	ENSGALP00000048670
PMZ_0048463	ENSGALG00000026449		126	118	93.65079365	+	ENSGALP00000042371
PMZ_0048439	ENSGALG00000025786		103	103	100	+	ENSGALP00000041526
PMZ_0048440	ENSGALG00000036908	H2B-VII	118	106	89.83050847	+	ENSGALP00000055900
PMZ_0001162	ENSGALG00000027064		136	135	99.26470588	+	ENSGALP00000042290
PMZ_0046914	ENSGALG00000005054	DKC1	155	142	91.61290323	+	ENSGALP00000008091
PMZ_0032367	ENSGALG00000042134		200	143	71.5	+	ENSGALP00000046623
PMZ_0036020	ENSGALG00000014737	KIF2A	272	221	81.25	+	ENSGALP00000023720
PMZ_0035851	ENSGALG00000031450	MYO7A	224	197	87.94642857	+	ENSGALP00000043512
PMZ_0043911	ENSGALG00000010187	SLC1A1	343	282	82.21574344	+	ENSGALP00000016539
PMZ_0035980	ENSGALG00000004568		234	162	69.23076923	+	ENSGALP00000007258
PMZ_0036254	ENSGALG00000007747	TMEM104	245	194	79.18367347	+	ENSGALP00000055194
PMZ_0042660	ENSGALG00000027415	GRIN2C	331	277	83.6858006	+	ENSGALP00000040833
PMZ_0041198	ENSGALG00000041348		103	61	59.22330097	+	ENSGALP00000044998
PMZ_0004486	ENSGALG00000007747	TMEM104	42	35	83.33333333	+	ENSGALP00000012546
PMZ_0044824	ENSGALG00000001207	PLCH2	255	183	71.76470588	+	ENSGALP00000001828
PMZ_0012287	ENSGALG00000002194	MRPL38	59	38	64.40677966	+	ENSGALP00000003428
PMZ_0043315	ENSGALG00000028876	SNN	49	45	91.83673469	+	ENSGALP00000040878
PMZ_0004484	ENSGALG00000016224	MAOA	30	22	73.33333333	+	ENSGALP00000026110
PMZ_0004488	ENSGALG00000007723		28	21	75	+	ENSGALP00000012509
PMZ_0009056	ENSGALG00000029583	PLBD1	312	209	66.98717949	+	ENSGALP00000046460
PMZ_0029964	ENSGALG00000002734	UHMK1	46	31	67.39130435	+	ENSGALP00000004303
PMZ_0029118	ENSGALG00000012410		55	30	54.54545455	+	ENSGALP00000020252
PMZ_0009304	ENSGALG00000007661	MYCBPAP	69	43	62.31884058	+	ENSGALP00000012396
PMZ_0029119	ENSGALG00000004860	RASD1	112	88	78.57142857	+	ENSGALP00000007751
PMZ_0014451	ENSGALG00000011878	TCF20	25	19	76	+	ENSGALP00000019357
PMZ_0035255	ENSGALG00000040039		112	81	72.32142857	+	ENSGALP00000057782
PMZ_0042669	ENSGALG00000046582		59	36	61.01694915	+	ENSGALP00000058635
PMZ_0012353	ENSGALG00000045908		63	41	65.07936508	+	ENSGALP00000062728
PMZ_0042671	ENSGALG00000007992	GGA3	230	186	80.86956522	+	ENSGALP00000012961
PMZ_0009743	ENSGALG00000038502	CCNF	105	76	72.38095238	+	ENSGALP00000050130
PMZ_0014719	ENSGALG00000001971	UBE2O	212	175	82.54716981	+	ENSGALP00000003058
PMZ_0009229	ENSGALG00000006418	PDPK1	510	455	89.21568627	+	ENSGALP00000052898
PMZ_0042674	ENSGALG00000043597		487	354	72.6899384	+	ENSGALP00000052510
PMZ_0004356	ENSGALG00000015356	IFT57	47	30	63.82978723	+	ENSGALP00000024735
PMZ_0042666	ENSGALG00000004798	MPRIP	104	79	75.96153846	+	ENSGALP00000052231
PMZ_0044687	ENSGALG00000002906	TARDBP	241	187	77.593361	+	ENSGALP00000004576
PMZ_0047112	ENSGALG00000007752	COPS7B	139	97	69.78417266	+	ENSGALP00000012557
PMZ_0017429	ENSGALG00000002683	DECR2	139	92	66.18705036	+	ENSGALP00000004219
PMZ_0011678	ENSGALG00000002018	CAPN15	202	169	83.66336634	+	ENSGALP00000003137
PMZ_0042675	ENSGALG00000002108	EVPL	133	83	62.40601504	+	ENSGALP00000003285
PMZ_0017768	ENSGALG00000002389	ITGB4	158	97	61.39240506	+	ENSGALP00000003752
PMZ_0027604	ENSGALG00000041309	ALKBH3	23	19	82.60869565	+	ENSGALP00000047082
PMZ_0016975	ENSGALG00000008236	PSMC2	318	315	99.05660377	+	ENSGALP00000013388
PMZ_0016974	ENSGALG00000036361	TMUB1	47	35	74.46808511	+	ENSGALP00000051476
PMZ_0028404	ENSGALG00000045255		173	124	71.67630058	+	ENSGALP00000059861
PMZ_0014160	ENSGALG00000013170	GSG1L	121	100	82.6446281	+	ENSGALP00000021478
PMZ_0042677	ENSGALG00000004929	GID4	181	148	81.7679558	+	ENSGALP00000007872
PMZ_0042678	ENSGALG00000005767	TRAF7	246	204	82.92682927	+	ENSGALP00000050524
PMZ_0042679	ENSGALG00000005608	SLC9A3R2	107	74	69.1588785	+	ENSGALP00000008988
PMZ_0008207	ENSGALG00000011800	FAM234B	35	24	68.57142857	+	ENSGALP00000049117
PMZ_0008206	ENSGALG00000036238	LUC7L2	228	198	86.84210526	+	ENSGALP00000043994
PMZ_0029452	ENSGALG00000007619		34	27	79.41176471	+	ENSGALP00000012309
PMZ_0003870	ENSGALG00000043363	KIAA0556	161	133	82.60869565	+	ENSGALP00000046485
PMZ_0029447	ENSGALG00000042603		114	81	71.05263158	+	ENSGALP00000050615
PMZ_0005287	ENSGALG00000002424	RECQL5	108	90	83.33333333	+	ENSGALP00000003806
PMZ_0042693	ENSGALG00000023626	NTN1	90	73	81.11111111	+	ENSGALP00000038541
PMZ_0042694	ENSGALG00000014408	LLGL1	338	267	78.99408284	+	ENSGALP00000023237
PMZ_0031052	ENSGALG00000004436		113	65	57.52212389	+	ENSGALP00000007048
PMZ_0042695	ENSGALG00000005096	B9D1	140	108	77.14285714	+	ENSGALP00000008160
PMZ_0042696	ENSGALG00000004237	PRKAR1A	287	246	85.71428571	+	ENSGALP00000033915
PMZ_0041286	ENSGALG00000038087	CACNG3	108	77	71.2962963	+	ENSGALP00000045774
PMZ_0031277	ENSGALG00000003566	SMURF2	142	126	88.73239437	+	ENSGALP00000005637
PMZ_0016642	ENSGALG00000003540	CEP95	37	30	81.08108108	+	ENSGALP00000005592
PMZ_0040152	ENSGALG00000001371		199	152	76.38190955	+	ENSGALP00000002089
PMZ_0042681	ENSGALG00000017357		113	88	77.87610619	+	ENSGALP00000056912
PMZ_0040153	ENSGALG00000035919	EPN2	135	116	85.92592593	+	ENSGALP00000046068
PMZ_0042683	ENSGALG00000008023	TMEM94	297	252	84.84848485	+	ENSGALP00000013003
PMZ_0042685	ENSGALG00000005465	NDUFB10	25	22	88	+	ENSGALP00000008764
PMZ_0042686	ENSGALG00000005490	RPS2	206	193	93.68932039	+	ENSGALP00000008802
PMZ_0042687	ENSGALG00000003584	KPNA2	367	256	69.75476839	+	ENSGALP00000063459
PMZ_0011296	ENSGALG00000004655	SMURF1	434	387	89.17050691	+	ENSGALP00000007405
PMZ_0042688	ENSGALG00000007119	DAGLB	149	104	69.79865772	+	ENSGALP00000011520
PMZ_0042689	ENSGALG00000040793	KDELR2	212	183	86.32075472	+	ENSGALP00000045653
PMZ_0016136	ENSGALG00000007130	cRac1A	220	214	97.27272727	+	ENSGALP00000011538
PMZ_0042704	ENSGALG00000002877	LRRC45	59	41	69.49152542	+	ENSGALP00000004528
PMZ_0030630	ENSGALG00000004525	TSPAN10	54	41	75.92592593	+	ENSGALP00000007191
PMZ_0042705	ENSGALG00000004816		440	350	79.54545455	+	ENSGALP00000007678
PMZ_0042706	ENSGALG00000005293		64	47	73.4375	+	ENSGALP00000008472
PMZ_0042707	ENSGALG00000011934	DESI1	65	48	73.84615385	+	ENSGALP00000019438
PMZ_0030627	ENSGALG00000002067		76	56	73.68421053	+	ENSGALP00000003213
PMZ_0011467	ENSGALG00000036028	GNA13	464	379	81.68103448	+	ENSGALP00000055111
PMZ_0022487	ENSGALG00000036894	ABCA2	344	306	88.95348837	+	ENSGALP00000047682
PMZ_0018289	ENSGALG00000026548	CBX8	51	38	74.50980392	+	ENSGALP00000042276
PMZ_0038178	ENSGALG00000039292	UNCX	63	50	79.36507937	+	ENSGALP00000054685
PMZ_0030219	ENSGALG00000007093	CYTH1	308	248	80.51948052	+	ENSGALP00000011471
PMZ_0014656	ENSGALG00000003596	TRRAP	1802	1543	85.62708102	+	ENSGALP00000005678
PMZ_0012619	ENSGALG00000003562	NPTX2	152	119	78.28947368	+	ENSGALP00000005631
PMZ_0030794	ENSGALG00000026428	CHMP6	109	90	82.56880734	+	ENSGALP00000041343
PMZ_0042701	ENSGALG00000043823	ECSIT	112	78	69.64285714	+	ENSGALP00000050877
PMZ_0035556	ENSGALG00000034504		279	207	74.19354839	+	ENSGALP00000054190
PMZ_0042698	ENSGALG00000003078	MMD	190	138	72.63157895	+	ENSGALP00000045831
PMZ_0042709	ENSGALG00000007054	TBC1D16	30	25	83.33333333	+	ENSGALP00000011413
PMZ_0042710	ENSGALG00000007054	TBC1D16	52	38	73.07692308	+	ENSGALP00000051249
PMZ_0029475	ENSGALG00000036743	MGAT3	203	138	67.98029557	+	ENSGALP00000047502
PMZ_0042712	ENSGALG00000040896	FASN	367	292	79.5640327	+	ENSGALP00000048384
PMZ_0026915	ENSGALG00000040896	FASN	648	576	88.88888889	+	ENSGALP00000059364
PMZ_0029476	ENSGALG00000012265	MICALL1	167	140	83.83233533	+	ENSGALP00000020006
PMZ_0042714	ENSGALG00000033001	ATP5J2	48	31	64.58333333	+	ENSGALP00000046535
PMZ_0030482	ENSGALG00000040770	TNRC18	168	143	85.11904762	+	ENSGALP00000045821
PMZ_0042715	ENSGALG00000006880	SLC38A10	259	205	79.15057915	+	ENSGALP00000011131
PMZ_0030488	ENSGALG00000044464	TEPSIN	54	39	72.22222222	+	ENSGALP00000062147
PMZ_0017046	ENSGALG00000031895	SDK2	427	326	76.34660422	+	ENSGALP00000053420
PMZ_0006035	ENSGALG00000031895	SDK2	471	383	81.3163482	+	ENSGALP00000057449
PMZ_0027285	ENSGALG00000034989	CEP112	53	36	67.9245283	+	ENSGALP00000050086
PMZ_0014770	ENSGALG00000029402	AXIN1	80	59	73.75	+	ENSGALP00000047150
PMZ_0043301	ENSGALG00000039200	AXIN2	143	115	80.41958042	+	ENSGALP00000054778
PMZ_0042716	ENSGALG00000027822		294	211	71.76870748	+	ENSGALP00000041926
PMZ_0032433	ENSGALG00000032257	CSNK1E	273	264	96.7032967	+	ENSGALP00000053098
PMZ_0031320	ENSGALG00000034325	RBFOX1	95	90	94.73684211	+	ENSGALP00000053578
PMZ_0032702	ENSGALG00000029610	RGS9	102	83	81.37254902	+	ENSGALP00000054318
PMZ_0028393	ENSGALG00000006889	TMC7	249	172	69.07630522	+	ENSGALP00000011144
PMZ_0018683	ENSGALG00000041066		197	145	73.60406091	+	ENSGALP00000048958
PMZ_0027709	ENSGALG00000030877	CLUAP1	140	114	81.42857143	+	ENSGALP00000056264
PMZ_0031325	ENSGALG00000030640		97	73	75.25773196	+	ENSGALP00000053222
PMZ_0021033	ENSGALG00000007027	SGSH	452	341	75.44247788	+	ENSGALP00000011355
PMZ_0028059	ENSGALG00000007018	SLC26A11	141	100	70.92198582	+	ENSGALP00000052292
PMZ_0032995	ENSGALG00000007237	ALYREF	84	78	92.85714286	+	ENSGALP00000011696
PMZ_0033622	ENSGALG00000011913	SEP3	212	168	79.24528302	+	ENSGALP00000019412
PMZ_0043280	ENSGALG00000026816		146	126	86.30136986	+	ENSGALP00000041450
PMZ_0009445	ENSGALG00000028979	FN3KRP	136	89	65.44117647	+	ENSGALP00000040960
PMZ_0043356	ENSGALG00000019736	MCHR1	82	55	67.07317073	+	ENSGALP00000030706
PMZ_0027591	ENSGALG00000001261	CFAP52	586	436	74.40273038	+	ENSGALP00000001912
PMZ_0035254	ENSGALG00000004460	FOXK1	141	124	87.94326241	+	ENSGALP00000007086
PMZ_0008264	ENSGALG00000006857	SPATA20	146	120	82.19178082	+	ENSGALP00000011087
PMZ_0003514	ENSGALG00000035816	FDXR	350	257	73.42857143	+	ENSGALP00000044993
PMZ_0027480	ENSGALG00000030169		265	205	77.35849057	+	ENSGALP00000044870
PMZ_0042722	ENSGALG00000000619	ANGPTL4	48	30	62.5	+	ENSGALP00000000875
PMZ_0031243	ENSGALG00000011838	GUCY2C	90	63	70	+	ENSGALP00000019294
PMZ_0042723	ENSGALG00000044567		23	18	78.26086957	+	ENSGALP00000064528
PMZ_0014951	ENSGALG00000005601		1075	881	81.95348837	+	ENSGALP00000008972
PMZ_0042721	ENSGALG00000002484	CRYM	42	29	69.04761905	+	ENSGALP00000003906
PMZ_0031791	ENSGALG00000007569	KBTBD8	67	39	58.20895522	+	ENSGALP00000012225
PMZ_0047404	ENSGALG00000016893		53	45	84.90566038	+	ENSGALP00000027247
PMZ_0026387	ENSGALG00000007386	LUC7L3	230	180	78.26086957	+	ENSGALP00000037522
PMZ_0042728	ENSGALG00000012532	TXN2	115	92	80	+	ENSGALP00000057422
PMZ_0042729	ENSGALG00000003819	ADAP1	244	177	72.54098361	+	ENSGALP00000033602
PMZ_0042731	ENSGALG00000027698	COX19	81	63	77.77777778	+	ENSGALP00000042779
PMZ_0010803	ENSGALG00000002457	SIL1	110	69	62.72727273	+	ENSGALP00000003865
PMZ_0011716	ENSGALG00000003294	ATAD5	61	44	72.13114754	+	ENSGALP00000005208
PMZ_0011715	ENSGALG00000003284	CRLF3	44	33	75	+	ENSGALP00000005184
PMZ_0002910	ENSGALG00000037854	TKFC	72	47	65.27777778	+	ENSGALP00000051773
PMZ_0002907	ENSGALG00000003260	UTP6	144	105	72.91666667	+	ENSGALP00000005153
PMZ_0002906	ENSGALG00000003277	SUZ12	363	295	81.26721763	+	ENSGALP00000005171
PMZ_0042733	ENSGALG00000003434	C17orf75	58	34	58.62068966	+	ENSGALP00000005427
PMZ_0029582	ENSGALG00000002666	RAB11FIP3	60	49	81.66666667	+	ENSGALP00000004190
PMZ_0018772	ENSGALG00000001985	PIGQ	174	137	78.73563218	+	ENSGALP00000003086
PMZ_0014200	ENSGALG00000035634	METRN	53	36	67.9245283	+	ENSGALP00000054530
PMZ_0026173	ENSGALG00000028172	WDR90	73	42	57.53424658	+	ENSGALP00000003985
PMZ_0042736	ENSGALG00000039817		157	100	63.69426752	+	ENSGALP00000046016
PMZ_0033979	ENSGALG00000003105	ANKFN1	172	131	76.1627907	+	ENSGALP00000038022
PMZ_0036500	ENSGALG00000009205		57	46	80.70175439	+	ENSGALP00000014972
PMZ_0029584	ENSGALG00000028230	SUN2	32	26	81.25	+	ENSGALP00000040890
PMZ_0040184	ENSGALG00000003781	SUN1	170	119	70	+	ENSGALP00000005991
PMZ_0033999	ENSGALG00000003099	PCTP	23	19	82.60869565	+	ENSGALP00000004887
PMZ_0027759	ENSGALG00000002278	UNK	68	51	75	+	ENSGALP00000003564
PMZ_0012474	ENSGALG00000004902	TOM1L2	288	234	81.25	+	ENSGALP00000007825
PMZ_0033222	ENSGALG00000043650	GFI1	47	34	72.34042553	+	ENSGALP00000055500
PMZ_0032648	ENSGALG00000006428	UBE2I	149	139	93.2885906	+	ENSGALP00000010363
PMZ_0010624	ENSGALG00000043938		442	349	78.95927602	+	ENSGALP00000060326
PMZ_0048764	ENSGALG00000005145	SS18L1	27	23	85.18518519	+	ENSGALP00000008248
PMZ_0036831	ENSGALG00000017022		334	266	79.64071856	+	ENSGALP00000027453
PMZ_0031073	ENSGALG00000032830	SEP7	262	225	85.8778626	+	ENSGALP00000048698
PMZ_0036623	ENSGALG00000006521	TRPM5	85	67	78.82352941	+	ENSGALP00000010522
PMZ_0039136	ENSGALG00000010565	NRDC	204	143	70.09803922	+	ENSGALP00000017172
PMZ_0034522	ENSGALG00000011680	EPHA5	166	131	78.91566265	+	ENSGALP00000019068
PMZ_0044329	ENSGALG00000003558	NADK2	135	106	78.51851852	+	ENSGALP00000005620
PMZ_0007336	ENSGALG00000031860	ADHFE1	172	142	82.55813953	+	ENSGALP00000054565
PMZ_0045306	ENSGALG00000038316	MTCL1	327	267	81.65137615	+	ENSGALP00000045747
PMZ_0040091	ENSGALG00000041233	FAM84B	62	40	64.51612903	+	ENSGALP00000059237
PMZ_0030162	ENSGALG00000037889	PTPRT	146	115	78.76712329	+	ENSGALP00000051418
PMZ_0026434	ENSGALG00000031284	PTPRM	459	346	75.38126362	+	ENSGALP00000052404
PMZ_0033977	ENSGALG00000038919	SLC32A1	395	312	78.98734177	+	ENSGALP00000054612
PMZ_0006020	ENSGALG00000014615	LAMA1	201	173	86.06965174	+	ENSGALP00000036103
PMZ_0006018	ENSGALG00000031843	ARHGAP18	108	78	72.22222222	+	ENSGALP00000055888
PMZ_0014736	ENSGALG00000016649	MTMR9	476	366	76.8907563	+	ENSGALP00000026824
PMZ_0001702	ENSGALG00000016646	XKR6	271	185	68.26568266	+	ENSGALP00000026821
PMZ_0028853	ENSGALG00000015908	COL12A1	312	233	74.67948718	+	ENSGALP00000025593
PMZ_0012753	ENSGALG00000007717	GCNT7	155	104	67.09677419	+	ENSGALP00000012494
PMZ_0027532	ENSGALG00000044536		66	48	72.72727273	+	ENSGALP00000060791
PMZ_0016007	ENSGALG00000033205	PHF20L1	57	40	70.1754386	+	ENSGALP00000049123
PMZ_0016006	ENSGALG00000039302	RIOX2	116	96	82.75862069	+	ENSGALP00000046125
PMZ_0031055	ENSGALG00000005524	NTSR1	159	104	65.40880503	+	ENSGALP00000008847
PMZ_0014735	ENSGALG00000016651		158	136	86.07594937	+	ENSGALP00000026827
PMZ_0043731	ENSGALG00000040755	ANGPT4	126	107	84.92063492	+	ENSGALP00000058314
PMZ_0041071	ENSGALG00000029983	ANGPT1	170	116	68.23529412	+	ENSGALP00000050106
PMZ_0006324	ENSGALG00000030030	RSPO2	45	31	68.88888889	+	ENSGALP00000052961
PMZ_0012776	ENSGALG00000042182		265	228	86.03773585	+	ENSGALP00000050079
PMZ_0029884	ENSGALG00000041043	ABRA	121	98	80.99173554	+	ENSGALP00000046092
PMZ_0045308	ENSGALG00000031578	CSMD3	807	563	69.7645601	+	ENSGALP00000049739
PMZ_0029357	ENSGALG00000006515	BSX	47	44	93.61702128	+	ENSGALP00000010513
PMZ_0006502	ENSGALG00000016052	DSCR3	81	58	71.60493827	+	ENSGALP00000025816
PMZ_0026729	ENSGALG00000035230	CSMD1	2269	1622	71.48523579	+	ENSGALP00000049414
PMZ_0041009	ENSGALG00000032069		134	87	64.92537313	+	ENSGALP00000055929
PMZ_0026405	ENSGALG00000014847	MYOM1	115	79	68.69565217	+	ENSGALP00000036092
PMZ_0034130	ENSGALG00000034434	IDH2	101	91	90.0990099	+	ENSGALP00000049035
PMZ_0026826	ENSGALG00000036017		284	218	76.76056338	+	ENSGALP00000053171
PMZ_0027878	ENSGALG00000004593	SULF2	237	202	85.23206751	+	ENSGALP00000007297
PMZ_0010167	ENSGALG00000041327	TRIM55	188	152	80.85106383	+	ENSGALP00000045186
PMZ_0010552	ENSGALG00000038488	GMEB1	89	70	78.65168539	+	ENSGALP00000045087
PMZ_0045313	ENSGALG00000037962	C1H21ORF59	139	97	69.78417266	+	ENSGALP00000049265
PMZ_0034534	ENSGALG00000033203	TRIM54	69	39	56.52173913	+	ENSGALP00000056907
PMZ_0033532	ENSGALG00000037148	CRH	45	39	86.66666667	+	ENSGALP00000050250
PMZ_0045312	ENSGALG00000035769	EPB41L2	136	103	75.73529412	+	ENSGALP00000045249
PMZ_0045317	ENSGALG00000001310		255	186	72.94117647	+	ENSGALP00000001992
PMZ_0045319	ENSGALG00000037249	KCNQ5	182	153	84.06593407	+	ENSGALP00000048777
PMZ_0030610	ENSGALG00000028149	MED18	23	19	82.60869565	+	ENSGALP00000040695
PMZ_0013967	ENSGALG00000010678	DESI2	158	132	83.5443038	+	ENSGALP00000017350
PMZ_0045321	ENSGALG00000003812	UBE2F	21	21	100	+	ENSGALP00000006035
PMZ_0045322	ENSGALG00000010039	BABAM2	118	91	77.11864407	+	ENSGALP00000016287
PMZ_0005765	ENSGALG00000004018	GLYCTK	143	88	61.53846154	+	ENSGALP00000006387
PMZ_0029239	ENSGALG00000009287	ATF2	90	70	77.77777778	+	ENSGALP00000032623
PMZ_0030611	ENSGALG00000019961	SLC18B1	143	90	62.93706294	+	ENSGALP00000031127
PMZ_0034116	ENSGALG00000000830	EMSY	94	75	79.78723404	+	ENSGALP00000001210
PMZ_0045327	ENSGALG00000038745	LACTB2	98	73	74.48979592	+	ENSGALP00000054898
PMZ_0017854	ENSGALG00000031449		65	39	60	+	ENSGALP00000049654
PMZ_0045320	ENSGALG00000016605	EFR3B	402	305	75.87064677	+	ENSGALP00000026747
PMZ_0000071	ENSGALG00000009013	MKKS	28	22	78.57142857	+	ENSGALP00000014647
PMZ_0030609	ENSGALG00000032537		39	23	58.97435897	+	ENSGALP00000043838
PMZ_0015783	ENSGALG00000031869		48	28	58.33333333	+	ENSGALP00000049112
PMZ_0045330	ENSGALG00000028138		65	43	66.15384615	+	ENSGALP00000040738
PMZ_0045331	ENSGALG00000016282	ZNF451	130	87	66.92307692	+	ENSGALP00000026201
PMZ_0045332	ENSGALG00000035921		92	72	78.26086957	+	ENSGALP00000056579
PMZ_0045333	ENSGALG00000015951	OGFRL1	82	49	59.75609756	+	ENSGALP00000025660
PMZ_0032882	ENSGALG00000032851		86	74	86.04651163	+	ENSGALP00000045757
PMZ_0009119	ENSGALG00000027189		236	183	77.54237288	+	ENSGALP00000040782
PMZ_0043723	ENSGALG00000031590	B3GAT2	244	210	86.06557377	+	ENSGALP00000049464
PMZ_0004032	ENSGALG00000015959	SMAP1	84	75	89.28571429	+	ENSGALP00000025669
PMZ_0001072	ENSGALG00000006826	KLHL25	57	29	50.87719298	+	ENSGALP00000011021
PMZ_0012412	ENSGALG00000015253	COL8A1	270	196	72.59259259	+	ENSGALP00000024565
PMZ_0045337	ENSGALG00000040421	LYPLA1	100	84	84	+	ENSGALP00000046758
PMZ_0045057	ENSGALG00000011797	MTHFD1	577	457	79.20277296	+	ENSGALP00000019224
PMZ_0038184	ENSGALG00000016485	RHOB	166	142	85.54216867	+	ENSGALP00000026544
PMZ_0045339	ENSGALG00000035384	TMEM241	29	21	72.4137931	+	ENSGALP00000054581
PMZ_0045340	ENSGALG00000040084	MRS2	145	95	65.51724138	+	ENSGALP00000048189
PMZ_0045342	ENSGALG00000028709		28	21	75	+	ENSGALP00000042877
PMZ_0045344	ENSGALG00000041918	CPA6	61	44	72.13114754	+	ENSGALP00000049485
PMZ_0045345	ENSGALG00000034756		41	26	63.41463415	+	ENSGALP00000045586
PMZ_0045338	ENSGALG00000040254	UQCC1	128	90	70.3125	+	ENSGALP00000049724
PMZ_0009034	ENSGALG00000002346	CLSPN	79	59	74.6835443	+	ENSGALP00000003690
PMZ_0045350	ENSGALG00000031032		76	46	60.52631579	+	ENSGALP00000054220
PMZ_0045351	ENSGALG00000035065	FAM110B	54	38	70.37037037	+	ENSGALP00000044807
PMZ_0034252	ENSGALG00000008811	SLC1A4	304	245	80.59210526	+	ENSGALP00000014306
PMZ_0045354	ENSGALG00000015612	LRPAP1	57	30	52.63157895	+	ENSGALP00000025125
PMZ_0045355	ENSGALG00000006182	NSFL1C	272	204	75	+	ENSGALP00000009964
PMZ_0045358	ENSGALG00000016501	SF3B6	81	74	91.35802469	+	ENSGALP00000026567
PMZ_0033751	ENSGALG00000016608	ADCY3	278	245	88.1294964	+	ENSGALP00000026753
PMZ_0045348	ENSGALG00000033069	TFPT	21	17	80.95238095	+	ENSGALP00000045948
PMZ_0037648	ENSGALG00000030767		93	67	72.04301075	+	ENSGALP00000048909
PMZ_0045361	ENSGALG00000016481	PUM2	429	378	88.11188811	+	ENSGALP00000026539
PMZ_0045359	ENSGALG00000016499		34	22	64.70588235	+	ENSGALP00000026565
PMZ_0037859	ENSGALG00000025796	ADI1	19	18	94.73684211	+	ENSGALP00000043343
PMZ_0001145	ENSGALG00000044204	AEN	164	108	65.85365854	+	ENSGALP00000060217
PMZ_0035689	ENSGALG00000040987	NDUFA8	107	77	71.96261682	+	ENSGALP00000047259
PMZ_0029671	ENSGALG00000002831	SH3PXD2B	67	42	62.68656716	+	ENSGALP00000004460
PMZ_0022653	ENSGALG00000002610		18	16	88.88888889	+	ENSGALP00000004102
PMZ_0043281	ENSGALG00000026225	PSMD12	407	337	82.8009828	+	ENSGALP00000041149
PMZ_0043283	ENSGALG00000040244	SEP9	214	172	80.37383178	+	ENSGALP00000058243
PMZ_0026060	ENSGALG00000027188	SREBF1	470	371	78.93617021	+	ENSGALP00000055196
PMZ_0043284	ENSGALG00000012552	TOM1	45	35	77.77777778	+	ENSGALP00000020470
PMZ_0043285	ENSGALG00000004926	ATPAF2	201	136	67.66169154	+	ENSGALP00000007866
PMZ_0043287	ENSGALG00000004953	DRG2	285	251	88.07017544	+	ENSGALP00000007928
PMZ_0043288	ENSGALG00000006434	TSR3	152	106	69.73684211	+	ENSGALP00000010371
PMZ_0043289	ENSGALG00000006441	GNPTG	40	35	87.5	+	ENSGALP00000010380
PMZ_0043291	ENSGALG00000043765		145	113	77.93103448	+	ENSGALP00000048040
PMZ_0043293	ENSGALG00000004834	COPS3	311	273	87.78135048	+	ENSGALP00000064004
PMZ_0043294	ENSGALG00000004875	PEMT	46	29	63.04347826	+	ENSGALP00000007770
PMZ_0029963	ENSGALG00000004798	MPRIP	294	260	88.43537415	+	ENSGALP00000007644
PMZ_0013815	ENSGALG00000029817		454	370	81.49779736	+	ENSGALP00000056329
PMZ_0043290	ENSGALG00000012144	MIEF1	137	78	56.93430657	+	ENSGALP00000019810
PMZ_0031378	ENSGALG00000029827	ACSM4	42	26	61.9047619	+	ENSGALP00000044287
PMZ_0043302	ENSGALG00000002200	ACSM3	131	105	80.15267176	+	ENSGALP00000003439
PMZ_0043303	ENSGALG00000038769		393	327	83.20610687	+	ENSGALP00000045323
PMZ_0032412	ENSGALG00000006933	C16orf52	64	43	67.1875	+	ENSGALP00000011216
PMZ_0043305	ENSGALG00000012013	SLC25A17	138	111	80.43478261	+	ENSGALP00000019576
PMZ_0043306	ENSGALG00000021539	PRPSAP1	232	206	88.79310345	+	ENSGALP00000002881
PMZ_0040104	ENSGALG00000040877	UBALD2	92	78	84.7826087	+	ENSGALP00000048921
PMZ_0043308	ENSGALG00000002008	RNF157	51	45	88.23529412	+	ENSGALP00000003123
PMZ_0006211	ENSGALG00000041025	FOXJ1	97	78	80.41237113	+	ENSGALP00000050869
PMZ_0043297	ENSGALG00000022802		297	229	77.1043771	+	ENSGALP00000035895
PMZ_0043298	ENSGALG00000007673	LRRC59	120	88	73.33333333	+	ENSGALP00000057338
PMZ_0043299	ENSGALG00000007821	DNAJA3	43	30	69.76744186	+	ENSGALP00000012682
PMZ_0043300	ENSGALG00000038325		232	146	62.93103448	+	ENSGALP00000048746
PMZ_0003866	ENSGALG00000001943	RHBDF2	190	141	74.21052632	+	ENSGALP00000003004
PMZ_0003869	ENSGALG00000000044	WFIKKN1	541	430	79.48243993	+	ENSGALP00000000058
PMZ_0019138	ENSGALG00000007848	PTS	136	98	72.05882353	+	ENSGALP00000012730
